title	imdb
The Suit	5.7
Dolly Parton’s Christmas on the Square	5.6
Machete Kills	5.6
40 Sticks	5.6
Alien Xmas	6.2
Flavorful Origins	7.6
Heart & Soul	7
If Anything Happens I Love You	7.8
Mismatched	5.9
The App That Stole Christmas	2.7
Voices of Fire	6.9
Black Friday	4.7
Bodyguard	8
Break Ke Baad	5.2
Hawaizaada	5.5
My Amnesia Girl	6.6
Raman Raghav 2.0	7.3
Singham	6.8
TE3N	7.2
The Princess Switch: Switched Again	5.4
Three Words to Forever	6.9
Well Done Abba	7.2
Holiday Home Makeover with Mr. Christmas	5.9
Ainu Mosir	6.6
Kevin Hart: Zero F**ks Given	6.1
The Boss Baby: Back in Business	6.5
We Are the Champions	7.1
Loving	5.1
Whose Streets?	6
A Very Country Christmas	6.1
America's Next Top Model	5.7
Beyblade Burst Rise	5.8
Cloudy with a Chance of Meatballs 2	6.3
Hometown Holiday	5.1
Polly Pocket	7.1
Survivor	7.5
The Crown	8.6
White Christmas	7.6
Killer Cove	4.4
American Horror Story	8
Fukrey Boyzzz: Space Mein Fukrapanti	8
Jingle Jangle: A Christmas Journey	6.4
The Beginning of Life 2: Outside	7.6
The Life Ahead	6.8
The Minions of Midas	6.6
A Very Special Love	6.5
Ethos	8.5
First Love	6.8
Fruitvale Station	7.5
Graceful Friends	7
Ludo	7.6
Memories of a Teenager	6.5
Prom Night	5.3
Aunty Donna's Big Ol' House of Fun	7.9
The Liberator	7.6
Trial 4	7.4
We Are All For The Fatherland	6.4
What We Wanted	5.9
A Lion in the House	8.8
DASH & LILY	7.5
Bakugan: Armored Alliance	4.5
Bakugan: Battle Planet	4.5
Citation	6.1
Country Ever After	6.9
Girl's Revenge	5.8
The Endless Trench	7.2
The Late Bloomer	5.2
Wrong Kind of Black	7.8
A New York Christmas Wedding	5.4
Alone/Together	5.4
Midnight at the Magnolia	5.8
One More Try	6
Operation Christmas Drop	5.9
Paranormal	6.3
A Christmas Catch	6.2
Christmas with a Prince	5.3
Love & Anarchy	7.4
Miss India	3.6
Felix Lobrecht: Hype	5.9
MOTHER	4.8
The Beginning of Life	7.5
Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón	7
Prospect	6.3
60 Days In	7.6
Christmas Break-In	4.5
Dawson's Creek	6.8
Elf Pets: A Fox Cub’s Christmas Tale	4.6
Elf Pets: Santa’s Reindeer Rescue	4.6
Elliot the Littlest Reindeer	5
Forged in Fire	8.2
Leah Remini: Scientology and the Aftermath	8.9
LEGO Jurassic World: Legend of Isla Nublar	6.8
LEGO Jurassic World: Secret Exhibit	6.2
LEGO Ninjago	6
LEGO Ninjago: Masters of Spinjitzu	6.7
LEGO: CITY Adventures	6.7
Little Monsters	6
Mile 22	6.1
Piercing	5.5
Snowden	7.3
The Garfield Show	5.6
The Good Detective	7.6
The Impossible	7.5
The Next Karate Kid	4.5
Voice	8.1
Wheels of Fortune	5.5
The 12th Man	7.3
Zumbo's Just Desserts	6.9
Hidden in Plain Sight	4.3
His House	6.5
In Line	7.2
Kaali Khuhi	3.7
